"COD_ALUNO";"COD_SOLICITACAO";"SOLICITACAO PARA CANCELAR";"DSC_MOTIVO"
"276978";"4992589";"4992589";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31113638. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7156942."
"898670";"4990215";"4990215";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 315120689. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497369,20813848."
"905448";"4990216";"4990216";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31521732. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20176585."
"584560";"4976734";"4976734";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314117441. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9758168."
"1229336";"4983392";"4983392";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 115262739. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22850328."
"247711";"4992591";"4992591";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 1012240. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7151838."
"810485";"4992593";"4992593";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 201210255. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22944792."
"916485";"4990217";"4990217";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31524022. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20543527."
"1139595";"4985816";"4985816";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 81514781. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22950660."
"850784";"4983400";"4983400";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 201517553. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22270085,22270095."
"185438";"4983401";"4983401";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 110116190. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9775856."
"691051";"4988097";"4988097";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 51515499. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20241099."
"584560";"4990220";"4990220";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314117441. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9758168."
"692014";"4990213";"4990213";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 315120359. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 21233507,21282631."
"692015";"4990214";"4990214";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 315120360. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497357,20813830."
"1167677";"4983390";"4983390";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 115249721. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 21735327."
"1169349";"4983391";"4983391";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 115250199. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22746864."
"420231";"4992587";"4992587";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31223954. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8493452."
"340727";"4992567";"4992567";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11117169. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9787739,10000560."
"529604";"4992568";"4992568";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11326694. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8451051,8668786."
"188675";"4992575";"4992575";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 410134847. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8573928."
"182339";"4992582";"4992582";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 409230843. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8574043,8674870."
"752540";"4990227";"4990227";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 200509353. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22883740,22883743,22883745,22883747,22883749,22883751,22883754,22883756,22883758,22883762,22883766,22883770."
"480953";"4972292";"4972292";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41311204. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7190948."
"480953";"4990208";"4990208";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41311204. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7190948."
"556957";"4990209";"4990209";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31414067. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497347,20813812."
"625098";"4990210";"4990210";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31425257. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497377,20813858."
"638932";"4990211";"4990211";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314211905. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497363,20813836."
"1229797";"4983395";"4983395";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 115262742. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22882201."
"654443";"4983388";"4983388";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31514106. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20772485."
"810102";"4983394";"4983394";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 201209752. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20418161."
"1229337";"4983393";"4983393";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 115262740. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22850330."
"262811";"4992588";"4992588";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31023804. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7151802."
"850784";"4992594";"4992594";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 201517553. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22270085,22270095."
"188982";"4992573";"4992573";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 410135034. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8424663,8656821."
"487301";"4992583";"4992583";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 113114280. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8577848,8577850."
"910020";"4990218";"4990218";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31522381. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20260733."
"570125";"4995881";"4995881";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314110556. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11682005,11997321."
"590478";"4985818";"4985818";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41412520. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20448206,20821639."
"265727";"4992080";"4992080";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11023887. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20380687."
"384506";"4990221";"4990221";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31215260. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 7558280."
"246829";"4992586";"4992586";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 1010878. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11755528,11978248."
"1139595";"4992592";"4992592";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 81514781. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22950660."
"346032";"4992585";"4992585";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11119252. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8574870,8661678."
"934890";"4990219";"4990219";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 31528442. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20666524."
"1139595";"4988090";"4988090";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 81514781. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 22950660."
"445817";"4983396";"4983396";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 51310860. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9686802."
"393193";"4992574";"4992574";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 11217159. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 8595715,8653776."
"478980";"4992578";"4992578";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 113111377. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 10492895."
"675739";"4990212";"4990212";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 315113404. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 20497381,20813862."
"584560";"4969400";"4969400";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 314117441. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 9758168."
"626958";"4983402";"4983402";"LIMPEZA DE BASE NÃO PODE SER CONCLUIDA PARA A MATRICULA 41421048. MOTIVO: EMPRESA DE COBRANCA. TÍTULOS 11700122."
